analyte,seq_id,uniprot,entrez_gene_symbol,target_full_name,accession
X11416.23,11416-23,Q9UKA2,FBXL4,F-box/LRR-repeat protein 4:Leucine-rich repeats 4 and 5,GCST90421484
X11421.10,11421-10,Q9H223,EHD4,EH domain-containing protein 4,GCST90421485
X11422.2,11422-2,O60479,DLX3,Homeobox protein DLX-3,GCST90421486
X11424.4,11424-4,P16930,FAH,Fumarylacetoacetase,GCST90421487
X11425.31,11425-31,Q96T51,RUFY1,RUN and FYVE domain-containing protein 1,GCST90421488
X11428.31,11428-31,O00151,PDLIM1,PDZ and LIM domain protein 1,GCST90421489
X11429.80,11429-80,P07910,HNRNPC,Heterogeneous nuclear ribonucleoproteins C1/C2,GCST90421490
X11430.49,11430-49,Q86Y01,DTX1,E3 ubiquitin-protein ligase DTX1,GCST90421491
X11431.235,11431-235,P46063,RECQL,ATP-dependent DNA helicase Q1,GCST90421492
X11432.11,11432-11,O60828,PQBP1,Polyglutamine-binding protein 1,GCST90421493
X11433.11,11433-11,Q96GX1,TCTN2,Tectonic-2,GCST90421494
X11436.6,11436-6,Q16352,INA,Alpha-internexin,GCST90421495
X11438.6,11438-6,P25686,DNAJB2,DnaJ homolog subfamily B member 2,GCST90421496
X11439.88,11439-88,Q8IUC4,RHPN2,Rhophilin-2,GCST90421497
X11440.58,11440-58,O14543,SOCS3,Suppressor of cytokine signaling 3,GCST90421498
X11441.11,11441-11,P06737,PYGL,"Glycogen phosphorylase, liver form",GCST90421499
X11442.1,11442-1,Q8NFT8,DNER,Delta and Notch-like epidermal growth factor-related receptor:Cytoplasmic domain,GCST90421500
X11444.49,11444-49,Q9H1D9,POLR3F,DNA-directed RNA polymerase III subunit RPC6,GCST90421501
X11448.34,11448-34,P51570,GALK1,Galactokinase,GCST90421502
X11450.110,11450-110,P07237,P4HB,Protein disulfide-isomerase,GCST90421503
X11454.87,11454-87,O75821,EIF3G,Eukaryotic translation initiation factor 3 subunit G,GCST90421504
X11456.2,11456-2,Q96LZ2,MAGEB10,Melanoma-associated antigen B10,GCST90421505
X11457.53,11457-53,Q14376,GALE,UDP-glucose 4-epimerase,GCST90421506
X11458.30,11458-30,Q15365,PCBP1,Poly(rC)-binding protein 1,GCST90421507
X11459.81,11459-81,P55199,ELL,RNA polymerase II elongation factor ELL,GCST90421508
X11462.8,11462-8,O43251,RBFOX2,RNA binding protein fox-1 homolog 2,GCST90421509
X11464.9,11464-9,Q01201,RELB,Transcription factor RelB,GCST90421510
X11465.4,11465-4,Q8IZ08,GPR135,Probable G-protein coupled receptor 135,GCST90421511
X11468.15,11468-15,Q9Y4C8,RBM19,Probable RNA-binding protein 19,GCST90421512
X11476.43,11476-43,Q9UN37,VPS4A,Vacuolar protein sorting-associated protein 4A,GCST90421513
X11480.1,11480-1,P30838,ALDH3A1,"Aldehyde dehydrogenase, dimeric NADP-preferring",GCST90421514
X11481.25,11481-25,Q8TDQ0,HAVCR2,Hepatitis A virus cellular receptor 2,GCST90421515
X11486.26,11486-26,Q15697,ZNF174,Zinc finger protein 174,GCST90421516
X11487.4,11487-4,Q08629,SPOCK1,Testican-1,GCST90421517
X11490.42,11490-42,P11441,UBL4A,Ubiquitin-like protein 4A,GCST90421518
X11493.169,11493-169,Q96FJ2,DYNLL2,"Dynein light chain 2, cytoplasmic",GCST90421519
X11494.4,11494-4,O00472,ELL2,RNA polymerase II elongation factor ELL2,GCST90421520
X11510.31,11510-31,O14791,APOL1,Apolipoprotein L1,GCST90421521
X11510.51,11510-51,O14791,APOL1,Apolipoprotein L1,GCST90421522
X11513.92,11513-92,P28907,CD38,ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 1,GCST90421523
X11514.196,11514-196,P13987,CD59,CD59 glycoprotein,GCST90421524
X11516.7,11516-7,P07148,FABP1,"Fatty acid-binding protein, liver",GCST90421525
X11530.37,11530-37,P08397,HMBS,Porphobilinogen deaminase,GCST90421526
X11531.24,11531-24,Q9H7M9,VSIR,V-type immunoglobulin domain-containing suppressor of T-cell activation:Cytoplasmic domain,GCST90421527
X11534.6,11534-6,Q3SXY7,LRIT3,"Leucine-rich repeat, immunoglobulin-like domain and transmembrane domain-containing protein 3",GCST90421528
X11536.9,11536-9,Q5VVJ2,MYSM1,Histone H2A deubiquitinase MYSM1,GCST90421529
X11537.12,11537-12,Q9UP52,TFR2,Transferrin receptor protein 2,GCST90421530
X11538.216,11538-216,O95822,MLYCD,"Malonyl-CoA decarboxylase, mitochondrial",GCST90421531
X11539.4,11539-4,P56134,ATP5MF,"ATP synthase subunit f, mitochondrial",GCST90421532
X11540.37,11540-37,O43524,FOXO3,Forkhead box protein O3,GCST90421533
X11542.11,11542-11,Q96A57,TMEM230,Transmembrane protein 230,GCST90421534
X11543.84,11543-84,Q9UHB6,LIMA1,LIM domain and actin-binding protein 1,GCST90421535
X11544.39,11544-39,Q92576,PHF3,PHD finger protein 3,GCST90421536
X11545.9,11545-9,Q92956,TNFRSF14,Tumor necrosis factor receptor superfamily member 14,GCST90421537
X11546.7,11546-7,Q8WWM9,CYGB,Cytoglobin,GCST90421538
X11547.84,11547-84,O15146,MUSK,"Muscle, skeletal receptor tyrosine-protein kinase",GCST90421539
X11548.84,11548-84,P30304,CDC25A,M-phase inducer phosphatase 1,GCST90421540
X11549.6,11549-6,P61371,ISL1,Insulin gene enhancer protein ISL-1,GCST90421541
