analyte,seq_id,uniprot,entrez_gene_symbol,target_full_name,accession
X7939.1,7939-1,A1A4F0,SLC66A1L,Putative uncharacterized protein PQLC2L,GCST90427164
X7943.16,7943-16,Q86UP6,CUZD1,CUB and zona pellucida-like domain-containing protein 1,GCST90427165
X7944.1,7944-1,Q8N743,KIR3DL3,Killer cell immunoglobulin-like receptor 3DL3:Extracellular domain,GCST90427166
X7945.10,7945-10,Q9H2E6,SEMA6A,Semaphorin-6A,GCST90427167
X7947.19,7947-19,Q96N21,TEPSIN,AP-4 complex accessory subunit tepsin,GCST90427168
X7948.129,7948-129,A6NH11,GLTPD2,Glycolipid transfer protein domain-containing protein 2,GCST90427169
X7950.142,7950-142,Q6UXG8,BTNL9,Butyrophilin-like protein 9,GCST90427170
X7951.146,7951-146,Q96LA5,FCRL2,Fc receptor-like protein 2,GCST90427171
X7952.2,7952-2,Q96AJ9,VTI1A,Vesicle transport through interaction with t-SNAREs homolog 1A,GCST90427172
X7953.20,7953-20,Q13291,SLAMF1,Signaling lymphocytic activation molecule,GCST90427173
X7955.195,7955-195,P19827,ITIH1,Inter-alpha-trypsin inhibitor heavy chain H1,GCST90427174
X7956.11,7956-11,Q5TGZ0,MICOS10,MICOS complex subunit MIC10,GCST90427175
X7957.2,7957-2,Q8WXD2,SCG3,Secretogranin-3,GCST90427176
X7958.15,7958-15,Q6UWL6,KIRREL2,Kin of IRRE-like protein 2,GCST90427177
X7959.34,7959-34,Q9ULB5,CDH7,Cadherin-7,GCST90427178
X7960.53,7960-53,Q6S5H5,POTEG,POTE ankyrin domain family member G,GCST90427179
X7962.11,7962-11,P0C7L1,SPINK8,Serine protease inhibitor Kazal-type 8,GCST90427180
X7965.25,7965-25,P09105,HBQ1,Hemoglobin subunit theta-1,GCST90427181
X7967.38,7967-38,A6NI47,POTEM,Putative POTE ankyrin domain family member M,GCST90427182
X7968.15,7968-15,O95727,CRTAM,Cytotoxic and regulatory T-cell molecule,GCST90427183
X7969.163,7969-163,Q8NEX6,WFDC11,Protein WFDC11,GCST90427184
X7970.315,7970-315,Q13508,ART3,Ecto-ADP-ribosyltransferase 3,GCST90427185
X7975.97,7975-97,Q6ZN44,UNC5A,Netrin receptor UNC5A,GCST90427186
X7976.19,7976-19,Q9P0K9,FRRS1L,DOMON domain-containing protein FRRS1L,GCST90427187
X7980.72,7980-72,Q9NY97,B3GNT2,"N-acetyllactosaminide beta-1,3-N-acetylglucosaminyltransferase 2",GCST90427188
X7981.230,7981-230,Q96L58,B3GALT6,"Beta-1,3-galactosyltransferase 6",GCST90427189
X7982.10,7982-10,Q9BYC8,MRPL32,"39S ribosomal protein L32, mitochondrial",GCST90427190
X7983.1,7983-1,Q9Y5F6,PCDHGC5,Protocadherin gamma-C5,GCST90427191
X7986.98,7986-98,Q9Y3Q0,NAALAD2,N-acetylated-alpha-linked acidic dipeptidase 2,GCST90427192
X7991.54,7991-54,Q8N6M8,IQCF1,IQ domain-containing protein F1,GCST90427193
X7993.23,7993-23,Q6HA08,ASTL,Astacin-like metalloendopeptidase,GCST90427194
X7994.41,7994-41,Q86YB8,ERO1B,ERO1-like protein beta,GCST90427195
X7995.16,7995-16,B2RUY7,B2RUY7,von Willebrand factor C domain-containing protein 2-like,GCST90427196
X7997.118,7997-118,Q14184,DOC2B,Double C2-like domain-containing protein beta,GCST90427197
X7999.23,7999-23,P49961,ENTPD1,Ectonucleoside triphosphate diphosphohydrolase 1,GCST90427198
X8000.17,8000-17,Q8N109,KIR2DL5A,Killer cell immunoglobulin-like receptor 2DL5A,GCST90427199
X8002.27,8002-27,Q9H3S3,TMPRSS5,Transmembrane protease serine 5,GCST90427200
X8003.57,8003-57,Q8N145,LGI3,Leucine-rich repeat LGI family member 3,GCST90427201
X8004.15,8004-15,O14556,GAPDHS,"Glyceraldehyde-3-phosphate dehydrogenase, testis-specific",GCST90427202
X8005.1,8005-1,P84157,MXRA7,Matrix-remodeling-associated protein 7,GCST90427203
X8006.12,8006-12,Q9NXW2,DNAJB12,DnaJ homolog subfamily B member 12,GCST90427204
X8007.19,8007-19,P07858,CTSB,Cathepsin B,GCST90427205
X8008.28,8008-28,O00198,HRK,Activator of apoptosis harakiri,GCST90427206
X8009.121,8009-121,Q15526,SURF1,Surfeit locus protein 1,GCST90427207
X8011.96,8011-96,Q6ZNF0,ACP7,Iron/zinc purple acid phosphatase-like protein,GCST90427208
X8013.9,8013-9,Q9H0V9,LMAN2L,VIP36-like protein,GCST90427209
X8014.359,8014-359,Q5SRI9,MANEA,"Glycoprotein endo-alpha-1,2-mannosidase",GCST90427210
X8016.19,8016-19,Q9NNZ3,DNAJC4,DnaJ homolog subfamily C member 4:N-term,GCST90427211
X8017.23,8017-23,Q96CU9,FOXRED1,FAD-dependent oxidoreductase domain-containing protein 1,GCST90427212
X8018.43,8018-43,Q96IQ7,VSIG2,V-set and immunoglobulin domain-containing protein 2,GCST90427213
X8019.73,8019-73,Q9NZ72,STMN3,Stathmin-3,GCST90427214
X8021.59,8021-59,Q6P1L8,MRPL14,"39S ribosomal protein L14, mitochondrial",GCST90427215
X8024.64,8024-64,O60704,TPST2,Protein-tyrosine sulfotransferase 2,GCST90427216
X8028.22,8028-22,Q9NQ38,SPINK5,Serine protease inhibitor Kazal-type 5,GCST90427217
X8032.23,8032-23,P59942,MCCD1,Mitochondrial coiled-coil domain protein 1,GCST90427218
X8033.1,8033-1,Q9H819,DNAJC18,DnaJ homolog subfamily C member 18,GCST90427219
X8034.6,8034-6,A6NNA5,DRGX,Dorsal root ganglia homeobox protein,GCST90427220
X8035.6,8035-6,Q9H425,C1orf198,Uncharacterized protein C1orf198,GCST90427221
X8036.75,8036-75,P01225,FSHB,Follitropin subunit beta,GCST90427222
X8037.53,8037-53,Q8TBM8,DNAJB14,DnaJ homolog subfamily B member 14:Lumenal domain,GCST90427223
X8038.41,8038-41,Q15738,NSDHL,"Sterol-4-alpha-carboxylate 3-dehydrogenase, decarboxylating",GCST90427224
X8039.41,8039-41,Q8N128,FAM177A1,Protein FAM177A1,GCST90427225
X8040.9,8040-9,Q68G75,LEMD1,LEM domain-containing protein 1,GCST90427226
X8042.88,8042-88,Q5DT21,SPINK9,Serine protease inhibitor Kazal-type 9,GCST90427227
X8043.153,8043-153,P49747,COMP,Cartilage oligomeric matrix protein,GCST90427228
X8044.90,8044-90,P55808,XG,Glycoprotein Xg,GCST90427229
X8045.3,8045-3,Q8N743,KIR3DL3,Killer cell immunoglobulin-like receptor 3DL3:Cytoplasmic domain,GCST90427230
X8046.9,8046-9,P09382,LGALS1,Galectin-1,GCST90427231
X8048.9,8048-9,Q8N4E7,FTMT,"Ferritin, mitochondrial",GCST90427232
X8051.10,8051-10,Q8N302,AGGF1,Angiogenic factor with G patch and FHA domains 1,GCST90427233
X8052.115,8052-115,Q8N2Q7,NLGN1,Neuroligin-1,GCST90427234
X8053.16,8053-16,Q8TBM8,DNAJB14,DnaJ homolog subfamily B member 14:Cytoplasmic domain,GCST90427235
X8055.33,8055-33,P98153,DGCR2,Integral membrane protein DGCR2/IDD,GCST90427236
X8059.1,8059-1,P40225,THPO,Thrombopoietin,GCST90427237
X8060.7,8060-7,O14511,NRG2,"Pro-neuregulin-2, membrane-bound isoform",GCST90427238
X8061.102,8061-102,Q6P995,FAM171B,Protein FAM171B:Cytoplasmic domain,GCST90427239
X8062.15,8062-15,Q9NVM1,EVA1B,Protein eva-1 homolog B,GCST90427240
X8064.125,8064-125,P15151,PVR,Poliovirus receptor,GCST90427241
X8065.245,8065-245,P0C8F1,PATE4,Prostate and testis expressed protein 4,GCST90427242
X8066.38,8066-38,Q86SS6,SYT9,Synaptotagmin-9,GCST90427243
X8067.21,8067-21,Q9Y6H6,KCNE3,Potassium voltage-gated channel subfamily E member 3,GCST90427244
X8068.43,8068-43,Q6NSJ0,MYORG,Uncharacterized family 31 glucosidase KIAA1161:Extracellular domain,GCST90427245
X8069.85,8069-85,P07766,CD3E,T-cell surface glycoprotein CD3 epsilon chain,GCST90427246
X8070.88,8070-88,P78352,DLG4,Disks large homolog 4,GCST90427247
X8071.114,8071-114,Q9Y5E2,PCDHB7,Protocadherin beta-7,GCST90427248
X8073.3,8073-3,Q9UIB8,CD84,SLAM family member 5,GCST90427249
X8074.32,8074-32,Q9BUB7,TMEM70,"Transmembrane protein 70, mitochondrial",GCST90427250
X8076.4,8076-4,Q8IXA5,SPACA3,Sperm acrosome membrane-associated protein 3,GCST90427251
X8079.39,8079-39,Q8N140,EID3,EP300-interacting inhibitor of differentiation 3,GCST90427252
X8080.24,8080-24,Q1L6U9,MSMP,Prostate-associated microseminoprotein,GCST90427253
X8081.55,8081-55,Q8N7P1,PLD5,Inactive phospholipase D5,GCST90427254
X8086.49,8086-49,Q9Y287,ITM2B,Integral membrane protein 2B,GCST90427255
X8087.250,8087-250,O43567,RNF13,E3 ubiquitin-protein ligase RNF13,GCST90427256
X8088.56,8088-56,Q8IVY1,C1orf210,Type III endosome membrane protein TEMP,GCST90427257
X8089.173,8089-173,P22736,NR4A1,Nuclear receptor subfamily 4 group A member 1,GCST90427258
X8091.16,8091-16,P48740,MASP1,Mannan-binding lectin serine protease 1:Mannan-binding lectin serine protease 1 heavy chain,GCST90427259
X8092.29,8092-29,P08887,IL6R,Interleukin-6 receptor subunit alpha,GCST90427260
X8093.13,8093-13,Q6NSJ0,MYORG,Uncharacterized family 31 glucosidase KIAA1161:Cytoplasmic domain,GCST90427261
X8094.20,8094-20,Q8N5K1,CISD2,CDGSH iron-sulfur domain-containing protein 2,GCST90427262
X8095.213,8095-213,P30405,PPIF,"Peptidyl-prolyl cis-trans isomerase F, mitochondrial",GCST90427263
X8097.77,8097-77,Q5VXI9,LIPN,Lipase member N,GCST90427264
X8098.37,8098-37,P24557,TBXAS1,Thromboxane-A synthase,GCST90427265
X8099.42,8099-42,Q9BUD6,SPON2,Spondin-2,GCST90427266
X8100.15,8100-15,Q7Z4H4,ADM2,ADM2,GCST90427267
X8102.239,8102-239,Q6ZWK4,RHEX,Uncharacterized protein C1orf186,GCST90427268
X8104.21,8104-21,Q13651,IL10RA,Interleukin-10 receptor subunit alpha:Extracellular domain,GCST90427269
X8106.15,8106-15,P43307,SSR1,Translocon-associated protein subunit alpha,GCST90427270
X8107.12,8107-12,Q8WY98,TMEM234,Transmembrane protein 234,GCST90427271
X8219.14,8219-14,O60844,ZG16,Zymogen granule membrane protein 16,GCST90427272
X8220.15,8220-15,Q96D05,FAM241B,Uncharacterized protein C10orf35,GCST90427273
X8221.19,8221-19,P14174,MIF,Macrophage migration inhibitory factor,GCST90427274
X8222.49,8222-49,Q6ZTQ4,CDHR3,Cadherin-related family member 3,GCST90427275
X8225.86,8225-86,P29323,EPHB2,Ephrin type-B receptor 2,GCST90427276
X8229.1,8229-1,Q4G148,GXYLT1,Glucoside xylosyltransferase 1,GCST90427277
X8231.122,8231-122,P17948,FLT1,Vascular endothelial growth factor receptor 1,GCST90427278
X8232.90,8232-90,Q86YT9,JAML,Junctional adhesion molecule-like,GCST90427279
X8233.2,8233-2,Q86UX2,ITIH5,Inter-alpha-trypsin inhibitor heavy chain H5,GCST90427280
X8235.48,8235-48,P05060,CHGB,Secretogranin-1,GCST90427281
X8236.8,8236-8,Q8TCD1,C18orf32,UPF0729 protein C18orf32,GCST90427282
X8237.56,8237-56,Q6X4U4,SOSTDC1,Sclerostin domain-containing protein 1,GCST90427283
X8239.223,8239-223,P06276,BCHE,Cholinesterase,GCST90427284
X8240.207,8240-207,Q14956,GPNMB,Transmembrane glycoprotein NMB:Extracellular domain,GCST90427285
X8242.9,8242-9,P0C7M8,CLEC2L,C-type lectin domain family 2 member L,GCST90427286
X8243.55,8243-55,P00995,SPINK1,Serine protease inhibitor Kazal-type 1,GCST90427287
X8244.16,8244-16,Q9BYC5,FUT8,"Alpha-(1,6)-fucosyltransferase",GCST90427288
X8245.27,8245-27,Q9UMF0,ICAM5,Intercellular adhesion molecule 5,GCST90427289
X8246.9,8246-9,Q8NBP7,PCSK9,Proprotein convertase subtilisin/kexin type 9,GCST90427290
X8248.222,8248-222,Q08ET2,SIGLEC14,Sialic acid-binding Ig-like lectin 14,GCST90427291
X8249.124,8249-124,Q9UM73,ALK,ALK tyrosine kinase receptor,GCST90427292
X8250.2,8250-2,Q12913,PTPRJ,Receptor-type tyrosine-protein phosphatase eta,GCST90427293
X8252.2,8252-2,Q6P988,NOTUM,Palmitoleoyl-protein carboxylesterase NOTUM,GCST90427294
X8253.2,8253-2,Q8WZA1,POMGNT1,"Protein O-linked-mannose beta-1,2-N-acetylglucosaminyltransferase 1",GCST90427295
X8255.34,8255-34,Q9Y6F6,IRAG1,Protein MRVI1,GCST90427296
X8257.71,8257-71,P01178,OXT,Oxytocin-neurophysin 1,GCST90427297
X8258.22,8258-22,Q8NBZ7,UXS1,UDP-glucuronic acid decarboxylase 1,GCST90427298
X8261.51,8261-51,P27105,STOM,Erythrocyte band 7 integral membrane protein,GCST90427299
X8262.20,8262-20,P05090,APOD,Apolipoprotein D,GCST90427300
X8263.64,8263-64,Q8TAI1,TYMSOS,TYMS opposite strand protein,GCST90427301
X8264.43,8264-43,O00548,DLL1,Delta-like protein 1,GCST90427302
X8268.98,8268-98,Q9Y663,HS3ST3A1,Heparan sulfate glucosamine 3-O-sulfotransferase 3A1,GCST90427303
X8269.327,8269-327,Q6UWY0,ARSK,Arylsulfatase K,GCST90427304
X8272.22,8272-22,P56937,HSD17B7,3-keto-steroid reductase:Cytoplasmic domain,GCST90427305
X8273.84,8273-84,Q8NI17,IL31RA,Interleukin-31 receptor subunit alpha,GCST90427306
X8274.64,8274-64,O15400,STX7,Syntaxin-7,GCST90427307
X8275.31,8275-31,Q5VY43,PEAR1,Platelet endothelial aggregation receptor 1:Extracellular domain,GCST90427308
X8280.238,8280-238,P04004,VTN,Vitronectin,GCST90427309
X8285.64,8285-64,P18509,ADCYAP1,Pituitary adenylate cyclase-activating polypeptide,GCST90427310
X8287.17,8287-17,Q496F6,CD300E,CMRF35-like molecule 2,GCST90427311
X8288.27,8288-27,P02749,APOH,Beta-2-glycoprotein 1,GCST90427312
X8289.8,8289-8,Q14956,GPNMB,Transmembrane glycoprotein NMB:Extracellular domain,GCST90427313
X8295.16,8295-16,O95897,OLFM2,Noelin-2,GCST90427314
X8296.117,8296-117,Q7Z4H8,POGLUT3,KDEL motif-containing protein 2,GCST90427315
X8297.8,8297-8,Q8IXB1,DNAJC10,DnaJ homolog subfamily C member 10,GCST90427316
X8299.66,8299-66,P59901,LILRA4,Leukocyte immunoglobulin-like receptor subfamily A member 4,GCST90427317
X8300.82,8300-82,O75381,PEX14,Peroxisomal membrane protein PEX14:N-term,GCST90427318
X8303.102,8303-102,Q9HB07,MYG1,"UPF0160 protein MYG1, mitochondrial",GCST90427319
X8304.50,8304-50,O00300,TNFRSF11B,Tumor necrosis factor receptor superfamily member 11B,GCST90427320
X8305.18,8305-18,Q8IWU5,SULF2,Extracellular sulfatase Sulf-2,GCST90427321
X8306.54,8306-54,O14668,PRRG1,Transmembrane gamma-carboxyglutamic acid protein 1:Cytoplasmic domain,GCST90427322
X8307.47,8307-47,Q9H3H3,C11orf68,UPF0696 protein C11orf68,GCST90427323
X8309.12,8309-12,Q12794,HYAL1,Hyaluronidase-1,GCST90427324
X8310.6,8310-6,Q96DA0,ZG16B,Zymogen granule protein 16 homolog B,GCST90427325
X8312.139,8312-139,P30085,CMPK1,UMP-CMP kinase,GCST90427326
X8314.71,8314-71,P15586,GNS,N-acetylglucosamine-6-sulfatase,GCST90427327
X8315.5,8315-5,Q8N690,DEFB119,Beta-defensin 119,GCST90427328
X8318.13,8318-13,Q7Z699,SPRED1,"Sprouty-related, EVH1 domain-containing protein 1",GCST90427329
X8320.5,8320-5,Q9NWH9,SLTM,SAFB-like transcription modulator,GCST90427330
X8321.27,8321-27,Q8N446,ZNF843,Zinc finger protein 843,GCST90427331
X8323.163,8323-163,Q07654,TFF3,Trefoil factor 3,GCST90427332
X8325.37,8325-37,P08319,ADH4,Alcohol dehydrogenase 4,GCST90427333
X8326.63,8326-63,Q6IA17,SIGIRR,Single Ig IL-1-related receptor,GCST90427334
X8327.26,8327-26,Q9H4A9,DPEP2,Dipeptidase 2,GCST90427335
X8328.9,8328-9,Q9HBU6,ETNK1,Ethanolamine kinase 1,GCST90427336
X8329.166,8329-166,P55289,CDH12,Cadherin-12:Cytoplasmic domain,GCST90427337
X8330.1,8330-1,Q86VZ4,LRP11,Low-density lipoprotein receptor-related protein 11,GCST90427338
X8334.65,8334-65,Q8WWU5,TCP11,T-complex protein 11 homolog,GCST90427339
X8336.267,8336-267,Q8IYS0,GRAMD1C,GRAM domain-containing protein 1C,GCST90427340
X8337.65,8337-65,Q92729,PTPRU,Receptor-type tyrosine-protein phosphatase U,GCST90427341
X8340.9,8340-9,Q30KQ9,DEFB110,Beta-defensin 110,GCST90427342
X8343.224,8343-224,Q9BWT3,PAPOLG,Poly(A) polymerase gamma,GCST90427343
X8345.27,8345-27,Q96SL4,GPX7,Glutathione peroxidase 7,GCST90427344
X8346.9,8346-9,Q9UHL4,DPP7,Dipeptidyl peptidase 2,GCST90427345
X8347.222,8347-222,Q9H1M3,DEFB129,Beta-defensin 129,GCST90427346
X8348.4,8348-4,P29323,EPHB2,Ephrin type-B receptor 2,GCST90427347
X8351.17,8351-17,Q6UWY2,PRSS57,Serine protease 57,GCST90427348
X8352.26,8352-26,Q96PQ1,SIGLEC12,"Sialic acid-binding Ig-like lectin 12:Ig-like C2-type 2 domain, Isoform short",GCST90427349
X8353.15,8353-15,O60939,SCN2B,Sodium channel subunit beta-2,GCST90427350
X8355.80,8355-80,B1AKI9,B1AKI9,Isthmin-1,GCST90427351
X8356.88,8356-88,P01178,OXT,Oxytocin-neurophysin 1,GCST90427352
X8357.43,8357-43,Q9BR01,SULT4A1,Sulfotransferase 4A1,GCST90427353
X8358.30,8358-30,P30048,PRDX3,"Thioredoxin-dependent peroxide reductase, mitochondrial",GCST90427354
X8359.149,8359-149,O94768,STK17B,Serine/threonine-protein kinase 17B,GCST90427355
X8360.169,8360-169,O76036,NCR1,Natural cytotoxicity triggering receptor 1,GCST90427356
X8363.18,8363-18,A8MWY0,ELAPOR2,UPF0577 protein KIAA1324-like,GCST90427357
X8364.74,8364-74,Q9Y2C2,UST,Uronyl 2-sulfotransferase,GCST90427358
X8366.19,8366-19,Q9H7X2,C1orf115,Uncharacterized protein C1orf115,GCST90427359
X8367.142,8367-142,Q86XK7,VSIG1,V-set and immunoglobulin domain-containing protein 1,GCST90427360
X8368.102,8368-102,P20333,TNFRSF1B,Tumor necrosis factor receptor superfamily member 1B,GCST90427361
X8369.102,8369-102,Q14118,DAG1,Dystroglycan,GCST90427362
X8372.29,8372-29,Q96JP9,CDHR1,Cadherin-related family member 1,GCST90427363
X8376.25,8376-25,P01229,LHB,Lutropin subunit beta,GCST90427364
X8378.3,8378-3,O95751,LDOC1,Protein LDOC1,GCST90427365
X8380.244,8380-244,P80370,DLK1,Protein delta homolog 1:Cytoplasmic domain,GCST90427366
X8382.47,8382-47,Q8IW41,MAPKAPK5,MAP kinase-activated protein kinase 5,GCST90427367
X8383.20,8383-20,C9JXX5,C9JXX5,Uncharacterized protein C11orf94,GCST90427368
X8385.248,8385-248,Q04756,HGFAC,Hepatocyte growth factor activator,GCST90427369
X8386.11,8386-11,Q8WXA2,PATE1,Prostate and testis expressed protein 1,GCST90427370
X8388.24,8388-24,Q9UBP0,SPAST,Spastin:Cytoplasmic domain,GCST90427371
X8389.8,8389-8,Q0VAA2,LRRC74A,Leucine-rich repeat-containing protein 74A,GCST90427372
X8390.25,8390-25,P24310,COX7A1,"Cytochrome c oxidase subunit 7A1, mitochondrial",GCST90427373
X8391.12,8391-12,Q30KQ5,DEFB115,Beta-defensin 115,GCST90427374
X8393.121,8393-121,Q9UBX1,CTSF,Cathepsin F,GCST90427375
X8394.56,8394-56,P10153,RNASE2,Non-secretory ribonuclease,GCST90427376
X8396.42,8396-42,Q6GMR7,FAAH2,Fatty-acid amide hydrolase 2,GCST90427377
X8397.147,8397-147,Q6ZRP7,QSOX2,Sulfhydryl oxidase 2,GCST90427378
X8398.277,8398-277,P49788,RARRES1,Retinoic acid receptor responder protein 1,GCST90427379
X8399.6,8399-6,O94768,STK17B,Serine/threonine-protein kinase 17B,GCST90427380
X8400.74,8400-74,P07492,GRP,Gastrin-releasing peptide,GCST90427381
X8403.18,8403-18,P49327,FASN,Fatty acid synthase,GCST90427382
X8404.102,8404-102,Q9H3K6,BOLA2,BolA-like protein 2,GCST90427383
X8405.108,8405-108,O14672,ADAM10,Disintegrin and metalloproteinase domain-containing protein 10:Extracellular domain,GCST90427384
X8406.17,8406-17,P05019,IGF1,Insulin-like growth factor I,GCST90427385
X8407.84,8407-84,Q04721,NOTCH2,Neurogenic locus notch homolog protein 2,GCST90427386
X8409.3,8409-3,Q6UXX9,RSPO2,R-spondin-2,GCST90427387
X8418.30,8418-30,P35222,CTNNB1,Catenin beta-1,GCST90427388
X8424.269,8424-269,P35222,CTNNB1,Catenin beta-1,GCST90427389
X8427.118,8427-118,Q9BXY4,RSPO3,R-spondin-3,GCST90427390
X8428.102,8428-102,Q9P121,NTM,Neurotrimin,GCST90427391
X8429.16,8429-16,Q9Y2T1,AXIN2,Axin-2,GCST90427392
X8446.4,8446-4,P18509,ADCYAP1,Pituitary adenylate cyclase-activating polypeptide 27,GCST90427393
X8447.11,8447-11,Q9UBU3,GHRL,Appetite-regulating hormone,GCST90427394
X8450.36,8450-36,P18509,ADCYAP1,Pituitary adenylate cyclase-activating polypeptide 38,GCST90427395
X8458.111,8458-111,P37840,SNCA,Alpha-synuclein,GCST90427396
X8458.16,8458-16,P37840,SNCA,Alpha-synuclein,GCST90427397
X8459.10,8459-10,P22004,BMP6,Bone morphogenetic protein 6,GCST90427398
X8462.18,8462-18,P01241,GH1,Somatotropin,GCST90427399
X8463.2,8463-2,P08294,SOD3,Extracellular superoxide dismutase [Cu-Zn],GCST90427400
X8464.31,8464-31,Q2I0M5,RSPO4,R-spondin-4,GCST90427401
X8465.52,8465-52,P09668,CTSH,Cathepsin H,GCST90427402
X8467.9,8467-9,P08476|P09529,INHBA|INHBB,Inhibin beta A chain:Inhibin beta B chain heterodimer,GCST90427403
X8468.19,8468-19,P07288,KLK3,Prostate-specific antigen,GCST90427404
X8469.41,8469-41,P18065,IGFBP2,Insulin-like growth factor-binding protein 2,GCST90427405
X8470.213,8470-213,O60930,RNASEH1,Ribonuclease H1,GCST90427406
X8474.6,8474-6,Q01973,ROR1,Inactive tyrosine-protein kinase transmembrane receptor ROR1,GCST90427407
X8475.15,8475-15,P09237,MMP7,Matrilysin,GCST90427408
X8476.11,8476-11,P10645,CHGA,Chromogranin-A,GCST90427409
X8479.4,8479-4,P09238,MMP10,Stromelysin-2,GCST90427410
X8480.29,8480-29,Q12805,EFEMP1,EGF-containing fibulin-like extracellular matrix protein 1,GCST90427411
X8484.24,8484-24,P41159,LEP,Leptin,GCST90427412
X8485.7,8485-7,Q14145,KEAP1,Kelch-like ECH-associated protein 1,GCST90427413
X8488.33,8488-33,P08514|P05106,ITGA2B|ITGB3,Integrin alpha-IIb: beta-3 complex,GCST90427414
X8520.8,8520-8,Q9UKF2,ADAM30,Disintegrin and metalloproteinase domain-containing protein 30,GCST90427415
X8528.74,8528-74,Q6UXK2,ISLR2,Immunoglobulin superfamily containing leucine-rich repeat protein 2,GCST90427416
X8529.1,8529-1,O14763,TNFRSF10B,Tumor necrosis factor receptor superfamily member 10B:Death domain,GCST90427417
X8535.102,8535-102,Q6E0U4,DMKN,Dermokine,GCST90427418
X8545.14,8545-14,Q8N4C9,C17orf78,Uncharacterized protein C17orf78:C-term,GCST90427419
X8556.5,8556-5,Q9H6L5,RETREG1,Protein FAM134B,GCST90427420
X8565.160,8565-160,Q9BX97,PLVAP,Plasmalemma vesicle-associated protein,GCST90427421
X8569.147,8569-147,Q9NVJ2,ARL8B,ADP-ribosylation factor-like protein 8B,GCST90427422
X8587.21,8587-21,Q6IE38,SPINK14,Serine protease inhibitor Kazal-type 14,GCST90427423
X8589.13,8589-13,Q9H5V8,CDCP1,CUB domain-containing protein 1,GCST90427424
X8597.1,8597-1,Q9P0T7,TMEM9,Transmembrane protein 9:Cytoplasmic domain,GCST90427425
X8601.167,8601-167,Q07954,LRP1,"Low-density lipoprotein receptor-related protein 1, soluble:Cytoplasmic domain",GCST90427426
X8606.39,8606-39,Q14956,GPNMB,Transmembrane glycoprotein NMB:Cytoplasmic domain,GCST90427427
X8620.56,8620-56,Q9P0G3,KLK14,Kallikrein-14,GCST90427428
X8624.16,8624-16,Q6UXZ4,UNC5D,Netrin receptor UNC5D,GCST90427429
X8631.13,8631-13,Q96PL5,ERMAP,Erythroid membrane-associated protein,GCST90427430
X8633.18,8633-18,Q8TEB7,RNF128,E3 ubiquitin-protein ligase RNF128:region 2,GCST90427431
X8635.283,8635-283,Q9BS86,ZPBP,Zona pellucida-binding protein 1,GCST90427432
X8644.46,8644-46,P09668,CTSH,Cathepsin H,GCST90427433
X8645.257,8645-257,O75381,PEX14,Peroxisomal membrane protein PEX14:C-term,GCST90427434
X8646.61,8646-61,Q86VH4,LRRTM4,"Leucine-rich repeat transmembrane neuronal protein 4:Isoform 2, Cytoplasmic domain",GCST90427435
X8653.132,8653-132,Q9NNZ3,DNAJC4,DnaJ homolog subfamily C member 4:C-term,GCST90427436
X8654.13,8654-13,O14672,ADAM10,Disintegrin and metalloproteinase domain-containing protein 10:Cytoplasmic domain,GCST90427437
X8659.68,8659-68,O95866,MPIG6B,"Protein G6b:Isoform B, Cytoplasmic domain",GCST90427438
X8660.33,8660-33,Q9NRN5,OLFML3,Olfactomedin-like protein 3,GCST90427439
X8660.5,8660-5,Q9NRN5,OLFML3,Olfactomedin-like protein 3,GCST90427440
X8664.36,8664-36,Q504Y2,PKDCC,Extracellular tyrosine-protein kinase PKDCC,GCST90427441
X8671.378,8671-378,Q8IUR0,TRAPPC5,Trafficking protein particle complex subunit 5,GCST90427442
X8681.93,8681-93,O15173,PGRMC2,"Membrane-associated progesterone receptor component 2:N-term, Isoform 2",GCST90427443
X8686.342,8686-342,Q53FT3,HIKESHI,Protein Hikeshi,GCST90427444
X8687.26,8687-26,Q9NUM4,TMEM106B,Transmembrane protein 106B,GCST90427445
X8690.25,8690-25,P56539,CAV3,Caveolin-3,GCST90427446
X8696.15,8696-15,Q99999,GAL3ST1,Galactosylceramide sulfotransferase,GCST90427447
X8697.38,8697-38,P35052,GPC1,Glypican-1,GCST90427448
X8700.325,8700-325,Q8NCW6,GALNT11,Polypeptide N-acetylgalactosaminyltransferase 11,GCST90427449
X8702.42,8702-42,Q8IYS5,OSCAR,Osteoclast-associated immunoglobulin-like receptor,GCST90427450
X8748.45,8748-45,P04233,CD74,HLA class II histocompatibility antigen gamma chain,GCST90427451
X8749.194,8749-194,P15813,CD1D,Antigen-presenting glycoprotein CD1d,GCST90427452
X8750.46,8750-46,P18206,VCL,Vinculin,GCST90427453
X8754.5,8754-5,P48645,NMU,Neuromedin-U,GCST90427454
X8756.41,8756-41,Q9UJ90,KCNE5,"Potassium voltage-gated channel subfamily E regulatory beta subunit 5:N-term, opposite side of membrane",GCST90427455
X8758.2,8758-2,Q9UN72,PCDHA7,Protocadherin alpha-7,GCST90427456
X8759.29,8759-29,Q9NPC4,A4GALT,Lactosylceramide 4-alpha-galactosyltransferase,GCST90427457
X8760.10,8760-10,Q9BTE7,DCUN1D5,DCN1-like protein 5,GCST90427458
X8762.38,8762-38,P32970,CD70,CD70 antigen,GCST90427459
