gene,uniprot,oid,version,panel,synapse_id,filename
PF4,P02776,OID30764,v1,Inflammation_II,syn52332689,PF4_P02776_OID30764_v1_Inflammation_II.tar
PFDN2,Q9UHV9,OID20892,v1,Neurology,syn51489856,PFDN2_Q9UHV9_OID20892_v1_Neurology.tar
PFDN4,Q9NQP4,OID31212,v1,Oncology_II,syn52355948,PFDN4_Q9NQP4_OID31212_v1_Oncology_II.tar
PFDN6,O15212,OID30938,v1,Neurology_II,syn52331574,PFDN6_O15212_OID30938_v1_Neurology_II.tar
PFKFB2,O60825,OID21356,v1,Oncology,syn51483259,PFKFB2_O60825_OID21356_v1_Oncology.tar
PGA4,P0DJD7,OID30699,v1,Inflammation_II,syn52355963,PGA4_P0DJD7_OID30699_v1_Inflammation_II.tar
PGD,P52209,OID30344,v1,Cardiometabolic_II,syn52356282,PGD_P52209_OID30344_v1_Cardiometabolic_II.tar
PGF,P49763,OID20673,v1,Inflammation,syn51495945,PGF_P49763_OID20673_v1_Inflammation.tar
PGLYRP1,O75594,OID20338,v1,Cardiometabolic,syn51475772,PGLYRP1_O75594_OID20338_v1_Cardiometabolic.tar
PGLYRP2,Q96PD5,OID30742,v1,Inflammation_II,syn52358176,PGLYRP2_Q96PD5_OID30742_v1_Inflammation_II.tar
PGLYRP4,Q96LB8,OID30101,v1,Cardiometabolic_II,syn52356432,PGLYRP4_Q96LB8_OID30101_v1_Cardiometabolic_II.tar
PGM2,Q96G03,OID30904,v1,Neurology_II,syn52356449,PGM2_Q96G03_OID30904_v1_Neurology_II.tar
PGR,P06401,OID30460,v1,Inflammation_II,syn52333861,PGR_P06401_OID30460_v1_Inflammation_II.tar
PHACTR2,O75167,OID31009,v1,Neurology_II,syn52356546,PHACTR2_O75167_OID31009_v1_Neurology_II.tar
PHLDB1,Q86UU1,OID31467,v1,Oncology_II,syn52356703,PHLDB1_Q86UU1_OID31467_v1_Oncology_II.tar
PHLDB2,Q86SQ0,OID31167,v1,Oncology_II,syn52356160,PHLDB2_Q86SQ0_OID31167_v1_Oncology_II.tar
PHOSPHO1,Q8TCT1,OID20922,v1,Neurology,syn51476024,PHOSPHO1_Q8TCT1_OID20922_v1_Neurology.tar
PHYKPL,Q8IUZ5,OID30634,v1,Inflammation_II,syn52356569,PHYKPL_Q8IUZ5_OID30634_v1_Inflammation_II.tar
PI16,Q6UXB8,OID30676,v1,Inflammation_II,syn52356460,PI16_Q6UXB8_OID30676_v1_Inflammation_II.tar
PI3,P19957,OID20326,v1,Cardiometabolic,syn51482219,PI3_P19957_OID20326_v1_Cardiometabolic.tar
PIBF1,Q8WXW3-4,OID31061,v1,Neurology_II,syn52331523,PIBF1_Q8WXW3-4_OID31061_v1_Neurology_II.tar
PIGR,P01833,OID21102,v1,Neurology,syn51489889,PIGR_P01833_OID21102_v1_Neurology.tar
PIK3AP1,Q6ZUJ8,OID20587,v1,Inflammation,syn51476204,PIK3AP1_Q6ZUJ8_OID20587_v1_Inflammation.tar
