gene,uniprot,oid,version,panel,synapse_id,filename
CXCL12,P48061,OID20464,v1,Inflammation,syn51469428,CXCL12_P48061_OID20464_v1_Inflammation.tar
CXCL13,O43927,OID21024,v1,Neurology,syn51469574,CXCL13_O43927_OID21024_v1_Neurology.tar
CXCL14,O95715,OID20458,v1,Inflammation,syn51471397,CXCL14_O95715_OID20458_v1_Inflammation.tar
CXCL16,Q9H2A7,OID20282,v1,Cardiometabolic,syn51471199,CXCL16_Q9H2A7_OID20282_v1_Cardiometabolic.tar
CXCL17,Q6UXB2,OID20622,v1,Inflammation,syn51470086,CXCL17_Q6UXB2_OID20622_v1_Inflammation.tar
CXCL3,P19876,OID20788,v1,Inflammation,syn51470198,CXCL3_P19876_OID20788_v1_Inflammation.tar
CXCL5,P42830,OID20207,v1,Cardiometabolic,syn51470563,CXCL5_P42830_OID20207_v1_Cardiometabolic.tar
CXCL6,P80162,OID20613,v1,Inflammation,syn51470017,CXCL6_P80162_OID20613_v1_Inflammation.tar
CXCL8,P10145,OID20153,v1,Cardiometabolic,syn51471182,CXCL8_P10145_OID20153_v1_Cardiometabolic.tar
CXCL8,P10145,OID20631,v1,Inflammation,syn51471460,CXCL8_P10145_OID20631_v1_Inflammation.tar
CXCL8,P10145,OID20997,v1,Neurology,syn51470442,CXCL8_P10145_OID20997_v1_Neurology.tar
CXCL8,P10145,OID21430,v1,Oncology,syn51470908,CXCL8_P10145_OID21430_v1_Oncology.tar
CXCL9,Q07325,OID20675,v1,Inflammation,syn51470185,CXCL9_Q07325_OID20675_v1_Inflammation.tar
CYB5A,P00167,OID31171,v1,Oncology_II,syn52362137,CYB5A_P00167_OID31171_v1_Oncology_II.tar
CYB5R2,Q6BCY4,OID31512,v1,Oncology_II,syn52363480,CYB5R2_Q6BCY4_OID31512_v1_Oncology_II.tar
CYP24A1,Q07973,OID30091,v1,Cardiometabolic_II,syn52363002,CYP24A1_Q07973_OID30091_v1_Cardiometabolic_II.tar
CYTH3,O43739,OID31208,v1,Oncology_II,syn52362723,CYTH3_O43739_OID31208_v1_Oncology_II.tar
CYTL1,Q9NRR1,OID30374,v1,Cardiometabolic_II,syn52362484,CYTL1_Q9NRR1_OID30374_v1_Cardiometabolic_II.tar
DAAM1,Q9Y4D1,OID30664,v1,Inflammation_II,syn52361899,DAAM1_Q9Y4D1_OID30664_v1_Inflammation_II.tar
DAB2,P98082,OID21428,v1,Oncology,syn51469947,DAB2_P98082_OID21428_v1_Oncology.tar
DAG1,Q14118,OID20774,v1,Inflammation,syn51471410,DAG1_Q14118_OID20774_v1_Inflammation.tar
DAND5,Q8N907,OID30420,v1,Inflammation_II,syn52362421,DAND5_Q8N907_OID30420_v1_Inflammation_II.tar
DAPK2,Q9UIK4,OID30505,v1,Inflammation_II,syn52363417,DAPK2_Q9UIK4_OID30505_v1_Inflammation_II.tar
DAPP1,Q9UN19,OID20524,v1,Inflammation,syn51471459,DAPP1_Q9UN19_OID20524_v1_Inflammation.tar
DARS1,P14868,OID20903,v1,Neurology,syn51471138,DARS1_P14868_OID20903_v1_Neurology.tar
DBH,P09172,OID30703,v1,Inflammation_II,syn52363023,DBH_P09172_OID30703_v1_Inflammation_II.tar
DBI,P07108,OID21143,v1,Neurology,syn51469346,DBI_P07108_OID21143_v1_Neurology.tar
DBN1,Q16643,OID30549,v1,Inflammation_II,syn52362265,DBN1_Q16643_OID30549_v1_Inflammation_II.tar
DBNL,Q9UJU6,OID20681,v1,Inflammation,syn51470216,DBNL_Q9UJU6_OID20681_v1_Inflammation.tar
DCBLD2,Q96PD2,OID21474,v1,Oncology,syn51470268,DCBLD2_Q96PD2_OID21474_v1_Oncology.tar
DCC,P43146,OID30953,v1,Neurology_II,syn52361857,DCC_P43146_OID30953_v1_Neurology_II.tar
DCDC2C,A8MYV0,OID31235,v1,Oncology_II,syn52361935,DCDC2C_A8MYV0_OID31235_v1_Oncology_II.tar
DCLRE1C,Q96SD1,OID31240,v1,Oncology_II,syn52363260,DCLRE1C_Q96SD1_OID31240_v1_Oncology_II.tar
DCN,P07585,OID20106,v1,Cardiometabolic,syn51468885,DCN_P07585_OID20106_v1_Cardiometabolic.tar
DCTD,P32321,OID30657,v1,Inflammation_II,syn52363241,DCTD_P32321_OID30657_v1_Inflammation_II.tar
DCTN1,Q14203,OID21399,v1,Oncology,syn51470161,DCTN1_Q14203_OID21399_v1_Oncology.tar
DCTN2,Q13561,OID21334,v1,Oncology,syn51468504,DCTN2_Q13561_OID21334_v1_Oncology.tar
DCTN6,O00399,OID20879,v1,Neurology,syn51471268,DCTN6_O00399_OID20879_v1_Neurology.tar
DCTPP1,Q9H773,OID20148,v1,Cardiometabolic,syn51468419,DCTPP1_Q9H773_OID20148_v1_Cardiometabolic.tar
DCUN1D1,Q96GG9,OID30830,v1,Neurology_II,syn52363326,DCUN1D1_Q96GG9_OID30830_v1_Neurology_II.tar
DCUN1D2,Q6PH85,OID31231,v1,Oncology_II,syn52361901,DCUN1D2_Q6PH85_OID31231_v1_Oncology_II.tar
DCXR,Q7Z4W1,OID21480,v1,Oncology,syn51468757,DCXR_Q7Z4W1_OID21480_v1_Oncology.tar
DDA1,Q9BW61,OID30126,v1,Cardiometabolic_II,syn52362296,DDA1_Q9BW61_OID30126_v1_Cardiometabolic_II.tar
DDAH1,O94760,OID21299,v1,Oncology,syn51469522,DDAH1_O94760_OID21299_v1_Oncology.tar
DDC,P20711,OID20215,v1,Cardiometabolic,syn51470985,DDC_P20711_OID20215_v1_Cardiometabolic.tar
DDHD2,O94830,OID31043,v1,Neurology_II,syn52361840,DDHD2_O94830_OID31043_v1_Neurology_II.tar
DDI2,Q5TDH0,OID30602,v1,Inflammation_II,syn52361418,DDI2_Q5TDH0_OID30602_v1_Inflammation_II.tar
DDR1,Q08345,OID21009,v1,Neurology,syn51469055,DDR1_Q08345_OID21009_v1_Neurology.tar
DDT,P30046,OID30372,v1,Cardiometabolic_II,syn52362826,DDT_P30046_OID30372_v1_Cardiometabolic_II.tar
DDX1,Q92499,OID31518,v1,Oncology_II,syn52361294,DDX1_Q92499_OID31518_v1_Oncology_II.tar
DDX25,Q9UHL0,OID30892,v1,Neurology_II,syn52362514,DDX25_Q9UHL0_OID30892_v1_Neurology_II.tar
DDX39A,O00148,OID30494,v1,Inflammation_II,syn52362434,DDX39A_O00148_OID30494_v1_Inflammation_II.tar
DDX4,Q9NQI0,OID30431,v1,Inflammation_II,syn52361282,DDX4_Q9NQI0_OID30431_v1_Inflammation_II.tar
DDX53,Q86TM3,OID30944,v1,Neurology_II,syn52363590,DDX53_Q86TM3_OID30944_v1_Neurology_II.tar
DDX58,O95786,OID21226,v1,Oncology,syn51469181,DDX58_O95786_OID21226_v1_Oncology.tar
DECR1,Q16698,OID20579,v1,Inflammation,syn51469470,DECR1_Q16698_OID20579_v1_Inflammation.tar
DEFA1_DEFA1B,P59665,OID20344,v1,Cardiometabolic,syn51470762,DEFA1_DEFA1B_P59665_OID20344_v1_Cardiometabolic.tar
DEFB103A_DEFB103B,P81534,OID30534,v1,Inflammation_II,syn52363218,DEFB103A_DEFB103B_P81534_OID30534_v1_Inflammation_II.tar
DEFB104A_DEFB104B,Q8WTQ1,OID30849,v1,Neurology_II,syn52362964,DEFB104A_DEFB104B_Q8WTQ1_OID30849_v1_Neurology_II.tar
DEFB116,Q30KQ4,OID30823,v1,Neurology_II,syn52362895,DEFB116_Q30KQ4_OID30823_v1_Neurology_II.tar
DEFB118,Q96PH6,OID30858,v1,Neurology_II,syn52363190,DEFB118_Q96PH6_OID30858_v1_Neurology_II.tar
DEFB4A_DEFB4B,O15263,OID21373,v1,Oncology,syn51469333,DEFB4A_DEFB4B_O15263_OID21373_v1_Oncology.tar
DENND2B,P78524,OID30050,v1,Cardiometabolic_II,syn52361377,DENND2B_P78524_OID30050_v1_Cardiometabolic_II.tar
DENR,O43583,OID30493,v1,Inflammation_II,syn52363671,DENR_O43583_OID30493_v1_Inflammation_II.tar
DFFA,O00273,OID20620,v1,Inflammation,syn51470251,DFFA_O00273_OID20620_v1_Inflammation.tar
DGCR6,Q14129,OID30859,v1,Neurology_II,syn52363239,DGCR6_Q14129_OID30859_v1_Neurology_II.tar
DGKA,P23743,OID30546,v1,Inflammation_II,syn52363157,DGKA_P23743_OID30546_v1_Inflammation_II.tar
DGKZ,Q13574,OID20466,v1,Inflammation,syn51470811,DGKZ_Q13574_OID20466_v1_Inflammation.tar
DHODH,Q02127,OID30137,v1,Cardiometabolic_II,syn52363027,DHODH_Q02127_OID30137_v1_Cardiometabolic_II.tar
DHPS,P49366,OID31357,v1,Oncology_II,syn52362258,DHPS_P49366_OID31357_v1_Oncology_II.tar
DHRS4L2,Q6PKH6,OID31072,v1,Neurology_II,syn52362996,DHRS4L2_Q6PKH6_OID31072_v1_Neurology_II.tar
DIABLO,Q9NR28,OID20184,v1,Cardiometabolic,syn51471330,DIABLO_Q9NR28_OID20184_v1_Cardiometabolic.tar
DIPK1C,Q0P6D2,OID30932,v1,Neurology_II,syn52363075,DIPK1C_Q0P6D2_OID30932_v1_Neurology_II.tar
DIPK2B,Q9H7Y0,OID30582,v1,Inflammation_II,syn52361428,DIPK2B_Q9H7Y0_OID30582_v1_Inflammation_II.tar
DKK1,O94907,OID21066,v1,Neurology,syn51468425,DKK1_O94907_OID21066_v1_Neurology.tar
DKK3,Q9UBP4,OID20264,v1,Cardiometabolic,syn51470187,DKK3_Q9UBP4_OID20264_v1_Cardiometabolic.tar
DKK4,Q9UBT3,OID20934,v1,Neurology,syn51471303,DKK4_Q9UBT3_OID20934_v1_Neurology.tar
DKKL1,Q9UK85,OID21313,v1,Oncology,syn51468709,DKKL1_Q9UK85_OID21313_v1_Oncology.tar
DLG4,P78352,OID31071,v1,Neurology_II,syn52361842,DLG4_P78352_OID31071_v1_Neurology_II.tar
DLGAP5,Q15398,OID30976,v1,Neurology_II,syn52362312,DLGAP5_Q15398_OID30976_v1_Neurology_II.tar
DLK1,P80370,OID20295,v1,Cardiometabolic,syn51469414,DLK1_P80370_OID20295_v1_Cardiometabolic.tar
DLL1,O00548,OID21525,v1,Oncology,syn51470828,DLL1_O00548_OID21525_v1_Oncology.tar
DLL4,Q9NR61,OID30255,v1,Cardiometabolic_II,syn52363500,DLL4_Q9NR61_OID30255_v1_Cardiometabolic_II.tar
DMD,P11532,OID30223,v1,Cardiometabolic_II,syn52361620,DMD_P11532_OID30223_v1_Cardiometabolic_II.tar
DMP1,Q13316,OID30213,v1,Cardiometabolic_II,syn52363511,DMP1_Q13316_OID30213_v1_Cardiometabolic_II.tar
DNAJA1,P31689,OID31204,v1,Oncology_II,syn52362808,DNAJA1_P31689_OID31204_v1_Oncology_II.tar
DNAJA2,O60884,OID20627,v1,Inflammation,syn51471141,DNAJA2_O60884_OID20627_v1_Inflammation.tar
DNAJA4,Q8WW22,OID31130,v1,Neurology_II,syn52362457,DNAJA4_Q8WW22_OID31130_v1_Neurology_II.tar
DNAJB1,P25685,OID21363,v1,Oncology,syn51469549,DNAJB1_P25685_OID21363_v1_Oncology.tar
DNAJB14,Q8TBM8,OID31434,v1,Oncology_II,syn52361495,DNAJB14_Q8TBM8_OID31434_v1_Oncology_II.tar
DNAJB2,P25686,OID30661,v1,Inflammation_II,syn52362297,DNAJB2_P25686_OID30661_v1_Inflammation_II.tar
DNAJB6,O75190,OID30613,v1,Inflammation_II,syn52361907,DNAJB6_O75190_OID30613_v1_Inflammation_II.tar
DNAJB8,Q8NHS0,OID20093,v1,Cardiometabolic,syn51469681,DNAJB8_Q8NHS0_OID20093_v1_Cardiometabolic.tar
DNAJC21,Q5F1R6,OID31104,v1,Neurology_II,syn52361387,DNAJC21_Q5F1R6_OID31104_v1_Neurology_II.tar
DNAJC6,O75061,OID30247,v1,Cardiometabolic_II,syn52363268,DNAJC6_O75061_OID30247_v1_Cardiometabolic_II.tar
DNAJC9,Q8WXX5,OID31472,v1,Oncology_II,syn52362515,DNAJC9_Q8WXX5_OID31472_v1_Oncology_II.tar
DNER,Q8NFT8,OID20712,v1,Inflammation,syn51468762,DNER_Q8NFT8_OID20712_v1_Inflammation.tar
DNLZ,Q5SXM8,OID30822,v1,Neurology_II,syn52362628,DNLZ_Q5SXM8_OID30822_v1_Neurology_II.tar
DNM1,Q05193,OID31458,v1,Oncology_II,syn52363063,DNM1_Q05193_OID31458_v1_Oncology_II.tar
DNM3,Q9UQ16,OID31000,v1,Neurology_II,syn52362162,DNM3_Q9UQ16_OID31000_v1_Neurology_II.tar
DNMBP,Q6XZF7,OID20956,v1,Neurology,syn51469854,DNMBP_Q6XZF7_OID20956_v1_Neurology.tar
